city,city_tier,category,unique_customers,transactions,total_revenue,avg_order_value,ltv_proxy,data_as_of
Mumbai,Tier-1,Electronics,52746,74665,48074528.07,643.87,911.43,2023-12-31
Delhi,Tier-1,Electronics,48367,66190,42790602.68,646.48,884.71,2023-12-31
Bangalore,Tier-2,Electronics,45023,60037,38716039.37,644.87,859.92,2023-12-31
Pune,Tier-2,Electronics,45293,60120,38580423.37,641.72,851.8,2023-12-31
Chennai,Tier-2,Electronics,32490,39311,25844892.34,657.45,795.47,2023-12-31
Mumbai,Tier-1,Home & Kitchen,34567,42417,14406928.25,339.65,416.78,2023-12-31
Delhi,Tier-1,Home & Kitchen,31349,37668,12814668.7,340.2,408.77,2023-12-31
Mumbai,Tier-1,Apparel,46275,62321,11908702.59,191.09,257.35,2023-12-31
Pune,Tier-2,Home & Kitchen,28821,34039,11583379.01,340.3,401.91,2023-12-31
Bangalore,Tier-2,Home & Kitchen,28724,34037,11440305.85,336.11,398.28,2023-12-31
Delhi,Tier-1,Apparel,42429,55274,10467233.8,189.37,246.7,2023-12-31
Bangalore,Tier-2,Apparel,39226,49890,9620551.5,192.84,245.26,2023-12-31
Pune,Tier-2,Apparel,39410,50097,9578587.96,191.2,243.05,2023-12-31
Mumbai,Tier-1,Groceries,50213,70030,8546293.22,122.04,170.2,2023-12-31
Delhi,Tier-1,Groceries,46037,61752,7636398.5,123.66,165.88,2023-12-31
Chennai,Tier-2,Home & Kitchen,19713,22003,7345740.01,333.85,372.63,2023-12-31
Bangalore,Tier-2,Groceries,42684,55712,6882239.13,123.53,161.24,2023-12-31
Pune,Tier-2,Groceries,42763,55800,6785854.52,121.61,158.69,2023-12-31
Chennai,Tier-2,Apparel,27806,32505,6205732.4,190.92,223.18,2023-12-31
Chennai,Tier-2,Groceries,30377,36132,4426701.57,122.51,145.73,2023-12-31
