ym,year,month,monthly_rev,mom_growth_pct,yoy_growth_pct
2021-01,2021,1,9387880.64,,
2021-02,2021,2,8594061.04,-8.46,
2021-03,2021,3,9397272.01,9.35,
2021-04,2021,4,9497450.04,1.07,
2021-05,2021,5,9514654.02,0.18,
2021-06,2021,6,9080773.9,-4.56,
2021-07,2021,7,9528805.18,4.93,
2021-08,2021,8,9634819.2,1.11,
2021-09,2021,9,9120837.72,-5.33,
2021-10,2021,10,9328578.89,2.28,
2021-11,2021,11,8994432.78,-3.58,
2021-12,2021,12,9563906.24,6.33,
2022-01,2022,1,9294569.79,-2.82,-0.99
2022-02,2022,2,8423554.03,-9.37,-1.98
2022-03,2022,3,9526635.71,13.1,1.38
2022-04,2022,4,9155732.23,-3.89,-3.6
2022-05,2022,5,9224656.45,0.75,-3.05
2022-06,2022,6,9176905.68,-0.52,1.06
2022-07,2022,7,9519723.81,3.74,-0.1
2022-08,2022,8,9398536.15,-1.27,-2.45
2022-09,2022,9,9392087.19,-0.07,2.97
2022-10,2022,10,9316479.15,-0.81,-0.13
2022-11,2022,11,9157874.88,-1.7,1.82
2022-12,2022,12,9360229.94,2.21,-2.13
2023-01,2023,1,9489713.02,1.38,2.1
2023-02,2023,2,8499068.49,-10.44,0.9
2023-03,2023,3,9360597.25,10.14,-1.74
2023-04,2023,4,8896034.86,-4.96,-2.84
2023-05,2023,5,9592642.72,7.83,3.99
2023-06,2023,6,8965218.89,-6.54,-2.31
2023-07,2023,7,9473264.77,5.67,-0.49
2023-08,2023,8,9384545.91,-0.94,-0.15
2023-09,2023,9,9289873.88,-1.01,-1.09
2023-10,2023,10,9533182.17,2.62,2.33
2023-11,2023,11,9370358.29,-1.71,2.32
2023-12,2023,12,9210845.92,-1.7,-1.6
